,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,max_spell_lvl,spell_dc,spell_attack,book,level,name
3077,3,-1,2,-2,0,-1,15,20,3,8,4,3,0,8,6.5,0,0.0,3,17,9,Pathfinder Monster Core,1,Earth Scamp
3076,0,3,1,-4,1,1,15,6,6,4,6,2,0,6,2.5,0,0.0,0,0,0,Pathfinder Monster Core,-1,Eagle
2993,5,2,4,1,6,5,26,145,18,16,12,18,1,20,18.5,0,0.0,5,26,18,Pathfinder Monster Core,8,Balisse
2992,2,4,4,4,2,4,22,75,11,11,15,11,1,15,14.0,0,0.0,4,22,12,Pathfinder Monster Core,5,Azuretzi
2991,4,4,2,0,1,2,25,115,15,15,18,12,0,18,11.5,17,3.5,0,0,0,Pathfinder Monster Core,7,Azarketi Tide Tamer
2990,2,3,2,0,1,1,16,15,6,6,9,3,0,7,4.5,0,0.0,0,0,0,Pathfinder Monster Core,0,Azarketi Crab Catcher
2989,5,4,3,5,5,3,26,155,19,13,16,18,1,20,20.0,0,0.0,5,27,17,Pathfinder Monster Core,8,Axiomite
3054,4,3,3,0,-1,2,19,45,6,10,8,6,1,11,10.5,10,5.5,2,19,11,Pathfinder Monster Core,3,Dero Strangler
3055,6,3,5,-1,3,1,27,135,15,17,15,13,0,19,21.0,0,0.0,0,0,0,Pathfinder Monster Core,8,Desert Drake
3056,5,7,3,-4,2,-1,30,130,18,17,21,16,0,21,29.0,23,18.0,0,0,0,Pathfinder Monster Core,10,Dezullon
3058,8,4,6,3,5,5,36,285,26,29,25,26,0,30,31.5,0,0.0,7,34,26,Pathfinder Monster Core,15,"Diabolic Dragon (Adult, Spellcaster)"
3059,8,4,6,3,5,5,36,285,26,29,25,26,0,30,31.5,0,0.0,7,34,26,Pathfinder Monster Core,15,Diabolic Dragon (Adult)
3060,10,5,8,5,7,8,44,390,33,36,32,32,0,38,43.0,0,0.0,9,40,32,Pathfinder Monster Core,20,"Diabolic Dragon (Ancient, Spellcaster)"
3061,10,5,8,5,7,8,44,390,33,36,32,32,0,38,43.0,0,0.0,9,40,32,Pathfinder Monster Core,20,Diabolic Dragon (Ancient)
3000,3,2,4,-1,2,0,16,24,7,9,5,7,0,8,0.0,7,4.5,0,0,0,Pathfinder Monster Core,1,Boggard Scout
3062,7,3,6,2,4,3,30,215,21,23,20,21,0,24,26.0,0,0.0,5,28,20,Pathfinder Monster Core,11,"Diabolic Dragon (Young, Spellcaster)"
3064,5,3,4,-4,3,-2,18,50,10,11,8,8,0,12,10.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Dire Wolf
3065,6,4,5,-4,2,0,16,300,15,21,18,15,0,21,23.0,0,0.0,0,0,0,Pathfinder Monster Core,9,Doldrums Heap
3066,6,0,4,1,3,1,29,140,18,19,15,17,0,21,18.0,0,0.0,0,0,0,Pathfinder Monster Core,9,Dragon Turtle
3067,-1,4,1,3,1,3,19,45,8,6,11,8,0,11,7.5,7,8.0,2,20,12,Pathfinder Monster Core,3,Draxie
3068,3,3,1,0,2,0,19,28,11,7,9,8,0,9,6.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Dromaar Mountaineer
3069,2,6,6,4,4,8,35,220,25,24,26,24,1,27,27.5,27,19.5,8,35,25,Pathfinder Monster Core,13,Dryad Queen
3070,0,4,1,2,3,4,17,55,10,6,11,10,1,12,8.5,0,0.0,5,20,12,Pathfinder Monster Core,3,Dryad
3071,6,2,2,2,3,4,28,95,14,13,15,17,0,18,12.5,0,0.0,0,0,0,Pathfinder Monster Core,7,Dullahan
3072,2,4,1,0,2,0,21,56,10,9,12,10,0,14,8.5,14,8.5,0,0,0,Pathfinder Monster Core,4,Duskwalker Ghost Hunter
3073,4,2,3,2,5,-1,20,70,13,11,8,14,0,12,6.5,0,0.0,0,0,0,Pathfinder Monster Core,4,Dwarf Stonecaster
3074,4,1,3,1,3,-1,17,20,7,8,3,5,0,8,4.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Dwarf Warrior
3075,-5,7,0,1,6,8,35,175,27,21,28,29,0,28,37.5,0,0.0,6,36,30,Pathfinder Monster Core,15,Dybbuk
3063,7,3,6,2,4,3,30,215,21,23,20,21,0,24,26.0,0,0.0,5,28,20,Pathfinder Monster Core,11,Diabolic Dragon (Young)
3106,5,5,4,6,3,3,30,175,19,18,21,19,0,21,21.5,0,0.0,5,30,22,Pathfinder Monster Core,10,Fortune Dragon (Young)
3057,2,3,0,4,0,1,17,22,4,4,7,6,1,7,4.5,0,0.0,1,18,8,Pathfinder Monster Core,2,Dhampir Wizard
3154,7,4,4,2,3,5,31,175,19,21,19,18,0,24,20.5,21,18.5,0,0,0,Pathfinder Monster Core,10,Graveknight
3359,8,5,5,0,5,8,33,290,26,23,25,21,1,27,26.5,25,24.0,2,31,23,Pathfinder Monster Core,13,Snow Oni
3358,2,3,5,-5,2,-2,18,50,7,12,8,7,0,11,10.0,0,0.0,0,0,0,Pathfinder Monster Core,3,Snapping Flytrap
3357,6,2,3,-4,2,0,23,110,14,15,12,10,0,16,15.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Smilodon
3356,2,6,4,3,2,3,27,115,15,15,17,15,0,20,14.0,0,0.0,3,25,17,Pathfinder Monster Core,7,Smaranava
3355,4,2,4,-4,0,0,17,35,6,10,6,4,0,11,8.5,9,0.0,0,0,0,Pathfinder Monster Core,2,Slurk
3354,4,3,4,0,2,1,16,30,10,10,9,6,0,10,8.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Slothspawn
3353,8,6,6,2,8,7,42,300,33,31,33,35,1,35,35.0,0,0.0,8,40,32,Pathfinder Monster Core,18,Skulltaker
3351,7,2,4,-5,2,2,25,105,16,15,15,13,0,18,18.0,0,0.0,0,0,0,Pathfinder Monster Core,7,Skeletal Hulk
3350,5,3,2,-5,2,0,16,33,8,6,9,8,0,9,9.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Skeletal Horse
3349,5,1,3,-5,0,2,17,50,7,8,8,7,0,12,10.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Skeletal Giant
3347,7,4,6,-3,4,1,33,195,20,25,19,21,0,25,26.5,0,0.0,0,0,0,Pathfinder Monster Core,12,Shuln
3346,2,5,6,2,5,7,33,215,23,22,19,19,1,25,31.5,25,19.5,7,33,25,Pathfinder Monster Core,12,Shining Child
3345,9,5,7,0,6,3,39,350,30,32,26,27,1,33,27.5,0,0.0,7,37,29,Pathfinder Monster Core,16,Shemhazian
3360,4,-1,3,-4,2,-1,19,44,9,12,6,7,0,11,11.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Sod Hound
3344,-5,4,0,-2,2,3,20,40,10,8,14,12,0,15,10.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Shadow
3361,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Brave)
3363,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Careful)
3378,7,-1,4,-5,0,-5,30,175,17,24,18,19,0,24,24.0,22,18.0,0,0,0,Pathfinder Monster Core,11,Stone Bulwark
3377,7,2,4,-4,2,0,23,125,15,17,13,13,0,18,16.0,0,0.0,0,0,0,Pathfinder Monster Core,7,Stegosaurus
3376,-3,4,0,-2,0,2,15,7,4,2,8,4,1,8,0.5,8,2.5,1,16,8,Pathfinder Monster Core,-1,Sprite
3375,1,3,2,-1,1,1,15,10,5,5,7,3,0,7,3.5,7,2.5,0,0,0,Pathfinder Monster Core,-1,Sprigjack
3374,-2,3,0,-5,0,-4,15,12,4,4,7,2,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,0,Spider Swarm
3373,6,1,3,5,4,4,27,135,18,16,14,19,1,20,16.0,0,0.0,5,27,19,Pathfinder Monster Core,8,Sphinx
3372,-1,3,0,0,1,-2,17,17,3,2,7,3,0,7,2.5,0,0.0,0,0,0,Pathfinder Monster Core,0,Soulbound Homunculus
3371,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Timid)
3370,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Sassy)
3369,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Rash)
3368,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Kind)
3367,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Jolly)
3366,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Impish)
3365,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Gentle)
3364,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Cruel)
3362,-2,4,3,0,2,0,17,23,8,7,10,6,1,10,5.5,0,0.0,3,18,10,Pathfinder Monster Core,2,Soulbound Doll (Calm)
3343,-5,4,0,-2,2,3,20,40,10,8,14,12,0,15,10.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Shadow Spawn
3342,8,2,5,0,1,3,33,275,20,25,20,23,0,27,31.5,0,0.0,0,0,0,Pathfinder Monster Core,13,Shadow Giant
3341,2,-5,4,-5,0,-5,8,40,3,9,1,3,0,9,7.0,0,0.0,0,0,0,Pathfinder Monster Core,1,Sewer Ooze
3320,5,1,7,2,3,3,31,150,19,23,15,19,0,22,22.5,0,0.0,5,27,19,Pathfinder Monster Core,10,Rekhep
3319,1,4,2,-3,1,1,20,17,8,7,9,4,0,9,4.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Reefclaw
3318,4,4,2,1,1,2,21,60,12,11,15,10,0,15,15.5,0,0.0,0,0,0,Pathfinder Monster Core,5,Redcap
3317,0,4,2,4,2,1,21,60,10,11,13,9,0,12,2.5,13,3.5,0,0,0,Pathfinder Monster Core,4,Ratfolk Grenadier
3316,-2,3,1,-4,1,-3,14,14,5,2,7,4,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,1,Rat Swarm
3315,1,4,2,1,1,2,16,20,6,5,9,6,0,9,4.5,0,0.0,4,16,8,Pathfinder Monster Core,1,Raktavarna
3314,6,6,4,2,2,5,30,180,18,18,20,18,2,22,17.5,0,0.0,5,29,21,Pathfinder Monster Core,10,Raja-Krodha
3313,6,4,3,-4,2,-1,25,110,15,16,17,12,0,17,19.0,0,0.0,0,0,0,Pathfinder Monster Core,7,Quetzalcoatlus
3312,7,3,5,6,5,5,30,175,21,19,19,21,1,23,24.0,0,0.0,7,29,21,Pathfinder Monster Core,10,Quetz Coatl
3311,6,5,4,5,6,8,36,305,29,27,26,31,1,30,25.5,0,0.0,5,39,31,Pathfinder Monster Core,15,Quelaunt
3310,4,2,0,4,3,1,25,120,18,13,15,18,1,16,19.0,0,0.0,1,27,17,Pathfinder Monster Core,7,Quatoid
3309,8,4,8,-3,5,-1,32,300,25,26,19,21,0,27,27.5,0,0.0,0,0,0,Pathfinder Monster Core,13,Quai Dau To
3308,3,4,3,1,3,1,22,65,11,11,10,11,0,13,13.5,14,11.5,5,21,13,Pathfinder Monster Core,4,Qarna
3307,3,3,3,-4,1,-2,15,20,6,8,10,4,0,8,7.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Python
3306,4,0,4,-3,0,0,17,36,6,10,4,8,1,10,7.5,0,0.0,3,16,8,Pathfinder Monster Core,2,Pusk
3321,5,3,4,0,3,2,23,115,14,14,13,17,0,17,14.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Revenant
3322,6,0,4,-4,3,-1,22,70,9,14,8,11,0,14,15.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Rhinoceros
3323,3,3,4,2,5,3,23,95,17,14,11,17,0,15,14.5,0,0.0,5,24,16,Pathfinder Monster Core,6,Rhu-Chalik
3324,2,2,2,-4,2,-1,16,20,7,7,5,5,0,7,5.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Riding Dog
3340,8,7,6,3,4,6,37,340,25,27,28,25,0,32,33.5,0,0.0,6,35,27,Pathfinder Monster Core,15,Seraptis
3339,6,3,4,2,3,5,23,95,15,14,13,15,0,17,14.5,0,0.0,0,0,0,Pathfinder Monster Core,6,Sedacthy Speaker
3337,6,3,4,0,1,3,19,75,9,14,9,9,0,14,13.5,0,0.0,0,0,0,Pathfinder Monster Core,4,Sedacthy Marauder
3336,8,4,6,-4,2,0,35,210,22,25,21,21,0,27,25.0,25,19.0,0,0,0,Pathfinder Monster Core,12,Sea Serpent
3335,4,3,4,1,3,3,19,45,10,11,8,10,0,12,9.5,0,0.0,8,20,12,Pathfinder Monster Core,3,Sea Hag
3334,0,5,2,-5,0,-4,21,55,11,10,13,8,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Scorpion Swarm
3379,6,2,4,0,4,0,27,150,16,18,14,14,0,21,23.0,18,19.0,0,0,0,Pathfinder Monster Core,8,Stone Giant
3333,5,2,3,-4,3,-2,19,60,11,13,8,11,0,13,14.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Scarecrow
3331,6,3,4,2,4,3,27,120,18,18,13,16,1,20,18.0,0,0.0,5,23,18,Pathfinder Monster Core,8,Sarglagon
3330,5,4,5,-4,2,0,14,180,10,17,14,10,0,17,17.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Sargassum Heap
3329,9,2,7,2,6,4,38,330,28,33,26,28,1,33,36.5,0,0.0,6,35,27,Pathfinder Monster Core,16,Rune Giant
3328,8,2,5,-4,1,0,27,180,18,20,17,16,0,21,17.0,0,0.0,0,0,0,Pathfinder Monster Core,9,Roc
3327,3,4,2,-1,2,-1,17,45,9,11,9,7,0,12,10.0,0,0.0,0,0,0,Pathfinder Monster Core,3,River Drake
3326,3,2,3,-4,2,0,14,16,4,7,4,4,0,5,5.5,0,0.0,0,0,0,Pathfinder Monster Core,0,Riding Pony
3325,4,3,4,-4,2,-1,16,22,5,9,6,5,0,7,7.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Riding Horse
3332,3,4,1,1,2,5,19,80,10,9,11,12,1,14,8.5,14,6.5,4,21,13,Pathfinder Monster Core,4,Satyr
3305,4,6,3,4,6,3,25,100,17,12,15,17,0,19,13.5,18,9.5,4,25,17,Pathfinder Monster Core,7,Pukwudgie
3380,6,-1,7,-1,3,-1,27,180,16,23,15,19,0,21,21.0,21,19.0,0,0,0,Pathfinder Monster Core,9,Stone Mauler
3382,2,3,4,4,2,7,23,100,15,15,14,17,1,16,17.0,0,0.0,6,26,18,Pathfinder Monster Core,7,Succubus
3436,-5,4,0,2,2,5,24,80,14,8,14,14,0,17,13.5,0,0.0,0,0,0,Pathfinder Monster Core,6,Wraith
3435,6,1,5,-4,3,-1,25,100,11,17,11,15,0,16,15.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Woolly Rhinoceros
3434,2,4,1,-4,2,-2,15,24,7,6,9,5,0,9,5.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Wolf
3433,6,4,4,2,3,2,23,70,14,13,15,10,0,15,15.0,0,0.0,0,0,0,Pathfinder Monster Core,5,Witchwarg
3432,3,4,2,-3,2,-2,18,45,9,9,11,7,0,11,8.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Winged Chupacabra
3431,-5,6,0,2,4,2,27,50,16,10,16,14,0,17,13.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Will-o'-Wisp
3430,4,1,4,0,3,2,18,40,10,11,6,10,0,12,8.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Wight
3429,4,2,2,-1,2,1,17,63,9,11,9,7,0,11,12.5,9,7.5,0,0,0,Pathfinder Monster Core,3,Werewolf
3428,4,3,3,0,3,-1,21,75,11,11,13,9,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Weretiger
3427,2,4,2,0,2,1,19,45,8,6,10,8,0,10,7.5,10,3.5,0,0,0,Pathfinder Monster Core,2,Wererat
3426,5,2,4,1,3,-1,23,75,11,12,10,10,0,13,10.5,0,0.0,0,0,0,Pathfinder Monster Core,4,Werebear
3425,1,3,1,-2,0,0,16,20,3,7,11,4,0,8,4.5,0,0.0,2,17,9,Pathfinder Monster Core,1,Water Scamp
3424,-4,4,2,-5,2,-1,18,45,10,10,12,8,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Wasp Swarm
3423,9,5,7,-1,5,5,37,350,27,29,25,27,0,32,35.0,28,35.0,0,0,0,Pathfinder Monster Core,16,Warsworn
3422,4,3,3,-1,2,2,17,36,8,11,9,6,0,11,8.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Warg
3437,4,3,4,0,2,1,16,30,10,10,9,6,0,10,9.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Wrathspawn
3421,4,4,3,-4,2,0,16,20,5,8,7,5,0,7,6.5,0,0.0,0,0,0,Pathfinder Monster Core,1,War Pony
3438,5,2,4,-2,3,0,24,95,13,16,12,13,0,17,14.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Wyvern
3440,4,1,2,-1,2,1,18,44,9,9,6,9,0,11,8.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Xulgath Leader
5343,-5,4,0,-2,2,3,20,40,10,8,14,12,0,15,10.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Familiar Shadow
5329,-5,3,0,0,2,2,20,30,10,8,11,8,0,13,9.0,0,0.0,0,0,0,Pathfinder Monster Core,4,Ghost
5312,5,-3,4,-5,0,-2,15,70,8,10,3,6,0,11,11.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Kugaptee's Blessing
3153,2,4,2,-1,2,0,17,20,5,5,9,7,1,7,4.5,9,5.5,3,15,7,Pathfinder Monster Core,1,Gourd Leshy
1078,6,-5,5,-5,0,-5,12,170,9,16,6,9,0,15,15.0,0,0.0,0,0,0,Pathfinder Monster Core,5,Demontangle
3451,-1,4,-2,4,2,3,18,25,8,4,8,8,1,10,3.5,10,5.5,4,18,10,Pathfinder Monster Core,2,Zyss Serpentfolk
3450,3,-2,2,-5,0,-2,12,20,0,6,0,2,0,7,7.5,0,0.0,0,0,0,Pathfinder Monster Core,-1,Zombie Shambler
3449,7,-1,4,-5,0,-2,21,160,8,16,9,12,0,17,20.0,17,16.0,0,0,0,Pathfinder Monster Core,6,Zombie Hulk
3448,5,-3,4,-5,0,-2,15,70,4,10,3,6,0,11,11.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Zombie Brute
3446,2,4,1,-4,0,0,18,36,7,6,13,7,0,11,8.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Zephyr Hawk
3445,3,5,2,0,2,0,23,110,14,14,17,12,0,17,12.0,17,0.0,0,0,0,Pathfinder Monster Core,6,Zecui
3444,5,2,4,-1,4,-1,21,115,15,15,11,13,0,15,16.0,0,0.0,0,0,0,Pathfinder Monster Core,5,Yeti
3443,10,7,7,10,7,6,45,375,37,33,31,35,1,38,40.0,0,0.0,10,44,36,Pathfinder Monster Core,20,Yamaraj
3442,4,2,3,-1,1,0,14,21,6,8,7,4,0,9,6.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Xulgath Warrior
3441,3,4,2,-1,1,0,17,28,7,8,10,5,0,10,5.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Xulgath Skulker
3439,2,4,4,5,4,6,26,130,16,14,16,18,0,18,16.0,0,0.0,4,27,19,Pathfinder Monster Core,8,Xoarian
3420,5,3,4,-4,2,-2,17,36,6,8,7,6,0,9,8.5,0,0.0,0,0,0,Pathfinder Monster Core,2,War Horse
3419,10,7,9,6,6,8,45,440,34,35,33,34,1,40,32.5,0,0.0,9,44,36,Pathfinder Monster Core,20,Vrolikai
3418,4,4,5,2,3,2,22,60,12,14,13,10,0,15,12.0,0,0.0,4,19,11,Pathfinder Monster Core,5,Vordine
3397,2,4,2,0,2,1,19,50,9,9,11,7,0,11,9.5,11,7.5,0,0,0,Pathfinder Monster Core,3,Twigjack
3396,7,3,7,-1,1,4,29,240,19,23,17,15,0,24,22.0,0,0.0,0,0,0,Pathfinder Monster Core,10,Troll Warleader
3395,7,0,4,-4,2,-1,26,140,16,18,12,14,0,19,16.0,0,0.0,0,0,0,Pathfinder Monster Core,8,Triceratops
3394,12,9,11,7,8,8,54,550,46,42,40,43,1,47,54.0,0,0.0,10,49,43,Pathfinder Monster Core,21,Treerazer
3393,11,8,9,-1,8,9,47,440,37,38,35,33,1,40,33.0,0,0.0,6,44,36,Pathfinder Monster Core,21,Tor Linnorm
3392,-2,3,0,-1,2,1,15,8,6,2,7,4,0,7,3.5,0,0.0,1,13,5,Pathfinder Monster Core,-1,Tooth Fairy
3391,-2,3,0,-1,2,2,18,28,8,5,10,7,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,3,Tooth Fairy Swarm
3390,6,-5,6,-5,0,-5,12,150,7,15,4,7,0,15,14.0,0,0.0,0,0,0,Pathfinder Monster Core,5,Tomb Jelly
3389,5,3,3,-4,2,-2,21,60,12,13,11,8,0,13,11.5,0,0.0,0,0,0,Pathfinder Monster Core,4,Tiger
3388,9,6,6,5,6,9,42,305,30,30,28,32,1,35,41.0,0,0.0,8,40,32,Pathfinder Monster Core,18,Thulgant
3387,10,5,9,-1,6,5,42,370,31,34,28,33,0,37,47.0,37,33.0,0,0,0,Pathfinder Monster Core,19,Terotricus
3386,2,4,1,1,0,1,19,27,6,7,10,4,0,10,4.5,10,3.5,0,0,0,Pathfinder Monster Core,2,Tengu Sneak
3385,10,6,8,-1,7,8,46,400,35,36,32,31,1,38,32.0,0,0.0,6,42,34,Pathfinder Monster Core,20,Tarn Linnorm
3384,8,4,5,4,4,6,36,285,26,27,26,22,1,30,25.5,0,0.0,7,36,28,Pathfinder Monster Core,14,Tabellia
3383,5,3,3,2,2,4,21,70,10,11,11,12,0,14,10.5,0,0.0,8,20,14,Pathfinder Monster Core,4,Sweet Hag
3398,8,1,5,-4,3,0,29,180,19,21,15,19,0,22,23.0,0,0.0,0,0,0,Pathfinder Monster Core,10,Tyrannosaurus
3399,4,3,3,0,2,3,21,60,10,9,9,12,1,14,10.5,0,0.0,5,19,11,Pathfinder Monster Core,4,Ugothol
3400,1,2,3,0,5,2,22,63,14,12,9,14,1,10,3.5,11,3.5,3,21,13,Pathfinder Monster Core,5,Umbral Gnome Rockwarden
3401,2,4,2,0,2,-1,17,18,7,7,9,5,1,7,4.5,9,4.5,1,14,6,Pathfinder Monster Core,1,Umbral Gnome Scout
3417,-1,4,0,-1,-1,1,17,16,4,5,9,6,1,9,3.5,0,0.0,4,16,8,Pathfinder Monster Core,1,Voidworm
3416,-3,4,0,-4,1,-2,14,8,5,2,7,5,0,6,1.5,0,0.0,0,0,0,Pathfinder Monster Core,-1,Viper
3415,8,6,5,4,4,7,40,300,28,25,30,28,0,34,35.5,0,0.0,6,37,29,Pathfinder Monster Core,16,Vilderavn
3414,6,6,8,7,5,6,34,270,25,26,22,24,1,28,24.5,0,0.0,7,37,29,Pathfinder Monster Core,14,Vidileth
3413,5,6,5,3,5,4,31,175,22,20,21,22,0,22,21.5,22,0.0,5,29,21,Pathfinder Monster Core,10,Vicharamuni
3412,-2,5,4,-3,1,1,21,60,11,11,15,9,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,5,Vescavor Swarm
3411,6,5,5,1,3,2,28,150,11,17,19,15,0,20,16.0,19,9.0,0,0,0,Pathfinder Monster Core,9,Vescavor Queen
3381,4,-5,5,-5,0,-5,10,90,5,12,0,5,0,11,12.0,0,0.0,0,0,0,Pathfinder Monster Core,3,String Slime
3410,2,4,2,5,3,3,21,75,12,9,11,14,0,13,12.0,0,0.0,4,22,14,Pathfinder Monster Core,5,Venedaemon
3408,6,4,2,2,4,2,27,105,15,15,13,17,1,18,13.5,0,0.0,4,22,14,Pathfinder Monster Core,7,Vanth
3406,3,4,1,6,4,5,27,115,20,15,18,20,1,18,18.0,0,0.0,6,26,18,Pathfinder Monster Core,9,Vampire Mastermind
3405,5,3,2,2,4,4,24,65,17,11,14,17,0,17,12.5,0,0.0,6,22,14,Pathfinder Monster Core,6,Vampire Count
3404,1,4,1,-4,3,-3,15,11,10,6,9,6,0,0,0.0,0,0.0,0,0,0,Pathfinder Monster Core,1,Vampire Bat Swarm
3403,4,3,3,0,4,4,20,45,13,10,8,11,1,12,8.5,0,0.0,5,21,13,Pathfinder Monster Core,3,Unicorn
3402,4,2,3,0,1,-1,18,34,7,9,8,5,1,10,7.5,8,5.5,1,15,7,Pathfinder Monster Core,2,Umbral Gnome Warrior
3409,0,3,2,-4,1,1,16,20,6,5,7,4,0,8,5.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Velociraptor
3304,-3,3,0,0,2,-2,14,17,6,5,8,6,1,8,0.5,8,3.5,2,16,8,Pathfinder Monster Core,0,Pugwampi
3447,-5,3,1,-1,1,1,16,20,6,6,10,4,0,0,0.0,8,4.5,4,17,9,Pathfinder Monster Core,1,Zoaem
3302,4,3,4,0,2,1,16,30,10,10,9,6,0,10,10.5,0,0.0,0,0,0,Pathfinder Monster Core,2,Pridespawn
3206,4,2,2,3,3,1,20,60,11,10,10,13,1,14,9.5,12,8.5,7,21,13,Pathfinder Monster Core,4,Jann
3205,6,3,5,4,4,3,26,140,18,15,13,18,1,20,15.0,0,0.0,4,26,18,Pathfinder Monster Core,8,Jah-Tohl
3204,6,1,4,3,2,3,25,110,15,18,12,15,1,20,17.5,0,0.0,7,24,16,Pathfinder Monster Core,7,Jabali
3203,4,5,2,2,2,4,22,55,15,9,14,11,1,16,12.5,16,12.5,7,21,13,Pathfinder Monster Core,5,Jaathoom
3202,9,6,6,2,9,6,38,390,32,26,28,34,1,35,30.5,30,31.5,2,37,29,Pathfinder Monster Core,17,Island Oni
3201,8,-1,4,-5,0,-5,33,190,21,26,19,22,0,28,28.5,0,0.0,0,0,0,Pathfinder Monster Core,13,Iron Warden
3200,6,4,4,1,4,3,24,80,14,16,12,14,0,16,13.0,0,0.0,8,24,16,Pathfinder Monster Core,6,Iron Hag
3199,5,5,3,-2,3,4,28,152,18,20,18,16,0,20,20.0,0,0.0,0,0,0,Pathfinder Monster Core,9,Irnakurse
3198,-1,4,0,1,2,2,17,15,7,5,9,7,1,9,1.5,0,0.0,4,17,9,Pathfinder Monster Core,1,Imp
3197,5,3,4,1,2,4,28,175,17,18,17,20,1,21,25.0,0,0.0,7,29,19,Pathfinder Monster Core,9,Ifrit
3196,9,5,7,-3,6,7,41,330,29,32,28,27,1,34,27.5,0,0.0,6,38,30,Pathfinder Monster Core,17,Ice Linnorm
3195,3,3,2,-4,1,-2,16,20,6,7,8,4,0,8,7.5,0,0.0,0,0,0,Pathfinder Monster Core,1,Hyena
3194,7,4,5,-3,2,-1,23,90,17,15,12,10,0,16,14.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Hydra
3193,5,3,3,-4,2,-2,18,45,9,10,8,7,0,12,10.5,0,0.0,0,0,0,Pathfinder Monster Core,3,Hyaenodon
3208,5,3,4,-1,1,1,23,90,13,17,13,11,0,17,14.0,0,0.0,0,0,0,Pathfinder Monster Core,6,Jungle Drake
